Unnamed: 0,passage,question,question_type,input_lang,target
5208,Mary travelled to the garden. Daniel took the football. Daniel journeyed to the hallway. John went to the bathroom. Daniel travelled to the bathroom. Sandra moved to the office. Daniel moved to the hallway. John went to the garden. John moved to the bedroom. Daniel went to the garden. Sandra travelled to the bathroom. Mary went back to the hallway. Daniel travelled to the hallway. Sandra went back to the bedroom. John travelled to the garden. John moved to the kitchen. Daniel discarded the football. Daniel moved to the kitchen. Sandra went to the office. John journeyed to the hallway. Sandra picked up the apple there. Mary moved to the bathroom. Daniel moved to the hallway. Mary got the milk. Sandra moved to the hallway. Sandra grabbed the football there. Mary put down the milk. Daniel went back to the bathroom. Sandra dropped the football there. Sandra took the football. Mary took the milk there. Sandra went back to the bathroom. Mary went to the office. Mary discarded the milk there. Sandra put down the football. Daniel took the football. John went back to the garden. Daniel moved to the kitchen. Daniel journeyed to the bedroom. Sandra put down the apple. John went back to the bedroom. Mary went to the kitchen.,Where was the apple before the bathroom?,qa3,en,hallway
5209,John went back to the hallway. Mary picked up the apple. Sandra journeyed to the bedroom. Sandra grabbed the milk. Daniel moved to the office. Sandra went to the office. Mary discarded the apple. Daniel went back to the kitchen. Sandra put down the milk. Sandra went back to the bedroom. Mary went back to the bathroom. Sandra grabbed the football there. Mary went to the garden. Daniel picked up the apple. Mary travelled to the office. Mary picked up the milk. Sandra went back to the office. Mary journeyed to the kitchen. John travelled to the office. Mary went to the garden.,Where was the milk before the garden?,qa3,en,kitchen
5210,John journeyed to the kitchen. Sandra went back to the kitchen. Daniel journeyed to the kitchen. Mary moved to the hallway. Sandra went to the office. Mary journeyed to the bedroom. Sandra journeyed to the garden. John travelled to the office. Mary went to the office. Mary journeyed to the hallway. Mary journeyed to the garden. Daniel journeyed to the office. John got the milk. John went to the kitchen. John moved to the bedroom. Mary went back to the bedroom.,Where was the milk before the bedroom?,qa3,en,kitchen
5211,Mary moved to the kitchen. John got the milk there. Mary went to the garden. Sandra went back to the office. Daniel picked up the football there. John went back to the kitchen. Daniel went to the kitchen. John discarded the milk. Mary journeyed to the hallway. Daniel got the milk. Daniel left the milk there. Daniel travelled to the office. Daniel went to the garden. John took the milk there. Daniel dropped the football. Sandra moved to the garden. Sandra got the football. John went to the garden. John moved to the hallway. Sandra went back to the bedroom. Sandra dropped the football. Daniel went to the bedroom. John got the apple. John moved to the garden. Sandra travelled to the hallway. Sandra journeyed to the office. Daniel got the football. Daniel moved to the garden. John left the milk. Daniel picked up the milk there. Sandra went to the bedroom. Mary travelled to the kitchen. John discarded the apple. Mary moved to the garden. John journeyed to the bedroom. Sandra went back to the hallway. Daniel took the apple. Daniel discarded the milk. Mary grabbed the milk. Mary moved to the hallway. Sandra journeyed to the bedroom. Daniel put down the apple there. Daniel went back to the hallway. Daniel dropped the football. John went back to the bathroom. John went back to the hallway.,Where was the football before the hallway?,qa3,en,garden
5212,Mary moved to the kitchen. John got the milk there. Mary went to the garden. Sandra went back to the office. Daniel picked up the football there. John went back to the kitchen. Daniel went to the kitchen. John discarded the milk. Mary journeyed to the hallway. Daniel got the milk. Daniel left the milk there. Daniel travelled to the office. Daniel went to the garden. John took the milk there. Daniel dropped the football. Sandra moved to the garden. Sandra got the football. John went to the garden. John moved to the hallway. Sandra went back to the bedroom. Sandra dropped the football. Daniel went to the bedroom. John got the apple. John moved to the garden. Sandra travelled to the hallway. Sandra journeyed to the office. Daniel got the football. Daniel moved to the garden. John left the milk. Daniel picked up the milk there. Sandra went to the bedroom. Mary travelled to the kitchen. John discarded the apple. Mary moved to the garden. John journeyed to the bedroom. Sandra went back to the hallway. Daniel took the apple. Daniel discarded the milk. Mary grabbed the milk. Mary moved to the hallway. Sandra journeyed to the bedroom. Daniel put down the apple there. Daniel went back to the hallway. Daniel dropped the football. John went back to the bathroom. John went back to the hallway. Sandra travelled to the bathroom. Sandra went to the office. Sandra went to the bathroom. Daniel got the football. Mary journeyed to the kitchen. Mary dropped the milk there.,Where was the milk before the kitchen?,qa3,en,hallway
5213,Daniel went back to the garden. Mary got the apple. Sandra travelled to the bedroom. Daniel travelled to the office. Mary went back to the office. Mary left the apple. Mary moved to the bathroom. Mary moved to the bedroom. Sandra journeyed to the office. Sandra grabbed the apple. John went back to the hallway. John went back to the bedroom. Sandra discarded the apple. Sandra got the apple. John went back to the bathroom. Mary travelled to the bathroom. Daniel went to the hallway. Sandra travelled to the bathroom. Mary journeyed to the garden. John went back to the hallway. Mary moved to the bedroom. John journeyed to the garden. John moved to the bedroom. Sandra travelled to the office. Mary moved to the bathroom. Daniel moved to the bedroom. Sandra moved to the bathroom. Sandra put down the apple there. John journeyed to the office. Sandra went back to the bedroom. John moved to the bathroom. John grabbed the apple. John left the apple. Mary went to the bedroom. John took the apple. Daniel moved to the office. Mary went to the kitchen. John journeyed to the bedroom. Mary took the football. Daniel went to the bathroom. Daniel journeyed to the kitchen. John went to the bathroom. Sandra travelled to the hallway. John left the apple.,Where was the apple before the bathroom?,qa3,en,bedroom
5214,Daniel went back to the garden. Mary got the apple. Sandra travelled to the bedroom. Daniel travelled to the office. Mary went back to the office. Mary left the apple. Mary moved to the bathroom. Mary moved to the bedroom. Sandra journeyed to the office. Sandra grabbed the apple. John went back to the hallway. John went back to the bedroom. Sandra discarded the apple. Sandra got the apple. John went back to the bathroom. Mary travelled to the bathroom. Daniel went to the hallway. Sandra travelled to the bathroom. Mary journeyed to the garden. John went back to the hallway. Mary moved to the bedroom. John journeyed to the garden. John moved to the bedroom. Sandra travelled to the office. Mary moved to the bathroom. Daniel moved to the bedroom. Sandra moved to the bathroom. Sandra put down the apple there. John journeyed to the office. Sandra went back to the bedroom. John moved to the bathroom. John grabbed the apple. John left the apple. Mary went to the bedroom. John took the apple. Daniel moved to the office. Mary went to the kitchen. John journeyed to the bedroom. Mary took the football. Daniel went to the bathroom. Daniel journeyed to the kitchen. John went to the bathroom. Sandra travelled to the hallway. John left the apple. Mary put down the football. Daniel took the football there.,Where was the apple before the bathroom?,qa3,en,bedroom
5215,Mary picked up the apple. John went to the garden. Sandra travelled to the office. Sandra took the milk. John went to the bedroom. Sandra went to the kitchen. John journeyed to the office. Mary left the apple. Mary travelled to the office. Sandra went to the office. Daniel went to the hallway. Sandra discarded the milk.,Where was the milk before the office?,qa3,en,kitchen
5216,Mary picked up the apple. John went to the garden. Sandra travelled to the office. Sandra took the milk. John went to the bedroom. Sandra went to the kitchen. John journeyed to the office. Mary left the apple. Mary travelled to the office. Sandra went to the office. Daniel went to the hallway. Sandra discarded the milk. Mary went to the bathroom. John moved to the hallway. Daniel got the football. Daniel discarded the football. Daniel grabbed the football. Mary went to the office. Mary grabbed the milk. Daniel dropped the football. Mary went to the bedroom. John got the football there. John left the football. Sandra went to the bathroom. Mary travelled to the kitchen. Mary picked up the apple there. Sandra journeyed to the bedroom. John took the football. John discarded the football. Daniel went back to the bedroom. John grabbed the football. Mary went back to the garden. Mary put down the apple. John went back to the bedroom. Daniel travelled to the kitchen. Mary dropped the milk. John left the football. Sandra got the football there.,Where was the milk before the kitchen?,qa3,en,bedroom
5217,John picked up the football there. Sandra went back to the kitchen. John travelled to the bathroom. John moved to the kitchen.,Where was the football before the kitchen?,qa3,en,bathroom
5218,Daniel journeyed to the office. Daniel moved to the garden. Daniel got the apple there. Daniel discarded the apple. Mary went back to the hallway. John travelled to the bedroom. Mary got the milk. Mary put down the milk there. John moved to the hallway. Mary picked up the milk. Mary moved to the bedroom. Mary took the football. Mary put down the football. Daniel picked up the apple. Mary grabbed the football. Sandra travelled to the kitchen. Mary travelled to the bathroom. Daniel discarded the apple. Daniel picked up the apple there. Sandra went back to the bedroom. Daniel dropped the apple there. John went to the office. Mary moved to the hallway. Mary discarded the football. Mary took the football. Daniel took the apple. John went to the kitchen. Mary dropped the football. Mary put down the milk there. John went to the bathroom. Sandra journeyed to the office. Mary got the milk. Mary picked up the football there. Daniel discarded the apple. Daniel journeyed to the kitchen. Mary went back to the kitchen. Mary dropped the milk. Daniel took the milk. John travelled to the office. Daniel discarded the milk. Mary grabbed the milk. Sandra went back to the bathroom. John went to the bedroom. Mary put down the football there. Daniel took the football. Sandra journeyed to the garden. Daniel journeyed to the hallway. Mary discarded the milk there. Sandra got the apple. Mary picked up the milk. Daniel left the football. Sandra travelled to the bedroom. Daniel grabbed the football. Sandra left the apple. John travelled to the kitchen. Sandra got the apple. Daniel discarded the football. Mary discarded the milk. Mary went to the garden. Daniel moved to the garden. Sandra moved to the garden. Mary moved to the kitchen. Sandra moved to the kitchen. John moved to the bathroom. Mary got the milk. Sandra journeyed to the office. Sandra dropped the apple. John journeyed to the kitchen. Sandra picked up the apple there. Mary went to the bathroom. Mary dropped the milk. Daniel went back to the office. Mary took the milk there. Mary dropped the milk there. Daniel moved to the hallway. Daniel went to the bathroom. Sandra put down the apple. Sandra picked up the apple there. Daniel travelled to the bedroom. John went to the hallway. John journeyed to the bedroom. Daniel went to the bathroom. Daniel travelled to the bedroom. Mary got the milk. Daniel moved to the office. Mary went to the garden. Mary went back to the office. Sandra discarded the apple.,Where was the milk before the office?,qa3,en,garden
5219,John moved to the hallway. Daniel went to the office. Daniel moved to the hallway. Sandra journeyed to the hallway. Sandra journeyed to the garden. Sandra moved to the hallway. John moved to the office. Daniel went back to the kitchen. John journeyed to the bedroom. Sandra went back to the bedroom. Sandra travelled to the hallway. John went back to the office. Sandra travelled to the bedroom. Sandra grabbed the football there. Sandra left the football. Mary moved to the hallway. Mary went to the kitchen. Sandra moved to the hallway. Sandra travelled to the office. Mary went to the bedroom. John journeyed to the garden. Mary journeyed to the kitchen. Mary journeyed to the bathroom. Mary journeyed to the hallway. Daniel went back to the office. Sandra moved to the bathroom. Daniel went back to the hallway. Sandra grabbed the milk. Sandra moved to the hallway. Daniel travelled to the garden. Sandra discarded the milk. Sandra grabbed the milk. Mary went back to the garden. Daniel journeyed to the bedroom. Mary went to the bedroom. John went to the office. Daniel took the apple there. Sandra dropped the milk. Daniel put down the apple. Sandra picked up the milk. Sandra moved to the garden. Mary got the apple. Mary left the apple. Sandra journeyed to the bedroom. Sandra journeyed to the garden. Daniel grabbed the apple. Daniel dropped the apple there. Sandra put down the milk. Mary took the apple. Sandra went back to the bedroom. Mary left the apple. Mary grabbed the football there. John journeyed to the bathroom. Daniel took the apple. John went back to the kitchen. Mary travelled to the bathroom. John moved to the hallway. Mary discarded the football. Daniel dropped the apple. Daniel went back to the office. Sandra moved to the bathroom. Daniel went to the bedroom. Mary took the football there. Mary moved to the office. Mary put down the football. Daniel grabbed the apple there. John travelled to the bathroom. Daniel went to the garden. Mary went to the kitchen. Sandra went to the kitchen. Sandra moved to the hallway. Daniel discarded the apple. Daniel grabbed the apple. Daniel dropped the apple. Sandra journeyed to the bathroom. Daniel went back to the bathroom. Sandra travelled to the garden. Mary went back to the office. John moved to the garden. Mary took the football. John grabbed the apple. Mary went to the hallway. John left the apple. Sandra took the apple. John moved to the kitchen. Sandra moved to the bedroom. Sandra left the apple. Mary left the football. Mary moved to the office. Sandra moved to the garden. Sandra journeyed to the hallway. Daniel travelled to the hallway. Sandra went back to the garden. Sandra got the milk there. Daniel took the football. Sandra went to the office. Daniel left the football. Sandra dropped the milk there. Sandra took the milk. Sandra travelled to the kitchen. Daniel grabbed the football. Mary moved to the bedroom. Sandra put down the milk there. Mary went back to the hallway. Daniel went to the garden. Mary went back to the bedroom. Sandra went to the office. Mary travelled to the bathroom. Daniel moved to the bathroom. John grabbed the milk. Mary journeyed to the office. John journeyed to the bedroom. John put down the milk there. Daniel moved to the bedroom. Daniel dropped the football. John grabbed the milk.,Where was the football before the bedroom?,qa3,en,bathroom
5220,John moved to the bathroom. Sandra took the apple there. Daniel journeyed to the hallway. John journeyed to the hallway. John went to the kitchen. Sandra moved to the bedroom. Sandra went back to the garden. Sandra grabbed the football. John travelled to the office. John grabbed the milk. Daniel went back to the office. Sandra dropped the apple. Mary moved to the garden. Mary got the apple. Mary moved to the office. Daniel went back to the bedroom. Mary went back to the kitchen. Mary went to the hallway. Mary went back to the garden. Mary discarded the apple. Mary went to the bedroom. Sandra got the apple. John moved to the kitchen. Daniel went to the hallway. Mary journeyed to the bathroom. John moved to the garden. John travelled to the kitchen. John moved to the office. Mary journeyed to the garden. Daniel went to the kitchen. John left the milk there. Sandra discarded the apple.,Where was the milk before the office?,qa3,en,kitchen
5221,Mary went back to the garden. Sandra went to the hallway. John travelled to the bathroom. Mary took the milk there. Sandra journeyed to the bedroom. Sandra moved to the hallway. Sandra went back to the bedroom. Daniel moved to the office. Mary discarded the milk. Sandra went to the garden. Sandra moved to the hallway. Sandra got the football. Mary travelled to the kitchen. John moved to the garden. John moved to the hallway. Sandra took the apple. Sandra discarded the football there. Sandra went to the bathroom. Daniel travelled to the hallway. John picked up the football there. Daniel moved to the kitchen. Daniel journeyed to the bedroom. Mary went back to the bathroom. John put down the football there. John took the football there. Mary moved to the bedroom. Sandra left the apple. Sandra took the apple there. Mary journeyed to the office. Sandra dropped the apple. Mary moved to the bathroom. Mary travelled to the garden. Mary went to the office. Sandra grabbed the apple there. Sandra put down the apple. John put down the football. Sandra travelled to the office. Daniel went to the hallway. Daniel went back to the garden. Sandra travelled to the hallway. Mary went back to the garden. Daniel went back to the bathroom. Mary moved to the bathroom. Daniel got the apple. John got the football there. Sandra journeyed to the garden. John moved to the office. Sandra went to the hallway. John went back to the hallway. Daniel left the apple. Mary grabbed the apple there. Daniel went back to the hallway. John dropped the football. Mary moved to the hallway. Sandra journeyed to the bedroom. Mary got the football there. Sandra moved to the office. Sandra travelled to the garden. Mary put down the football. John went back to the kitchen. Mary went to the bedroom. Daniel travelled to the bedroom. Daniel went back to the kitchen. Sandra got the milk. Sandra dropped the milk. John went back to the garden. John travelled to the hallway. Daniel went back to the bedroom. Daniel moved to the garden. Sandra took the milk. John took the football. Sandra discarded the milk there. Sandra went to the hallway. Mary put down the apple. Daniel went to the office. Daniel went to the bathroom. Mary travelled to the bathroom. Sandra moved to the bedroom. Sandra picked up the apple. Mary journeyed to the garden. John left the football. John journeyed to the garden. John took the milk. John put down the milk. John went to the bedroom. Daniel journeyed to the office. Sandra left the apple. Daniel went to the hallway. Mary travelled to the kitchen. John travelled to the office. Daniel picked up the football. Sandra grabbed the apple. John went back to the garden. Daniel dropped the football. John moved to the office. Sandra travelled to the bathroom. Daniel grabbed the football there. Mary travelled to the bathroom. John went to the hallway. Sandra put down the apple. Sandra went back to the hallway. Mary picked up the apple. Daniel dropped the football there. Mary dropped the apple. Mary grabbed the apple. John journeyed to the office. John moved to the hallway. Mary journeyed to the office. Mary left the apple. Daniel moved to the kitchen. Mary took the apple. Sandra journeyed to the kitchen. Sandra moved to the bathroom. Sandra journeyed to the kitchen. Daniel travelled to the garden. Daniel moved to the kitchen. John took the football. Sandra journeyed to the office. Mary went back to the kitchen. Mary moved to the garden. Mary left the apple. Daniel travelled to the hallway.,Where was the apple before the garden?,qa3,en,kitchen
5222,Mary went back to the bedroom. Daniel got the apple. Sandra went back to the office. Daniel put down the apple. Sandra picked up the apple. Mary journeyed to the office. John went back to the office. John travelled to the kitchen. Mary travelled to the bedroom. John travelled to the garden. Daniel went to the garden. Daniel took the milk. Sandra put down the apple. Daniel journeyed to the bathroom. Daniel dropped the milk. Sandra got the apple. Sandra left the apple. John travelled to the hallway. Daniel picked up the milk. John moved to the kitchen. Mary went back to the kitchen. Sandra took the apple. Sandra dropped the apple. John journeyed to the bathroom. Daniel dropped the milk. Sandra moved to the kitchen. John picked up the milk there. John discarded the milk. John went to the kitchen. Sandra travelled to the bedroom. Daniel grabbed the milk. Daniel travelled to the bedroom. Daniel journeyed to the garden. Daniel put down the milk. Daniel moved to the bathroom. John went back to the garden. Mary travelled to the bathroom. Mary journeyed to the hallway. Sandra went to the kitchen. John went back to the bedroom. Mary went back to the office. Mary picked up the apple. Daniel travelled to the kitchen. Sandra travelled to the bathroom. Sandra travelled to the garden. Sandra picked up the milk. Daniel went to the garden. Mary journeyed to the garden. Sandra discarded the milk. Mary put down the apple there. Mary grabbed the milk. Daniel took the apple. Mary dropped the milk. Daniel went to the bathroom. Daniel left the apple. Daniel travelled to the garden. Daniel got the milk there. John travelled to the garden. Mary moved to the office. Daniel discarded the milk. Sandra moved to the hallway. Sandra moved to the garden. Daniel picked up the milk. Sandra went to the hallway. Mary journeyed to the hallway. Sandra got the football there. Daniel moved to the office. Daniel left the milk. Daniel got the milk. Daniel left the milk. Sandra went back to the kitchen. Daniel moved to the hallway. Sandra discarded the football. Sandra grabbed the football. Daniel travelled to the bedroom. Daniel travelled to the office. John moved to the office. John got the milk. John discarded the milk. Daniel grabbed the milk. Sandra discarded the football. Mary went back to the bedroom. Daniel travelled to the bedroom. Daniel went back to the office. Daniel discarded the milk there. Daniel went to the bedroom.,Where was the milk before the office?,qa3,en,bedroom
5223,Mary grabbed the football there. Daniel went to the garden. Daniel went to the hallway. Mary put down the football. John grabbed the apple. John went back to the bedroom. Sandra took the football. Daniel went back to the bathroom. John travelled to the hallway. Sandra dropped the football. John left the apple. John grabbed the apple. Mary took the football. Daniel travelled to the bedroom. John discarded the apple. John got the apple there. John journeyed to the kitchen. Mary discarded the football. Sandra went to the office. Mary picked up the football. John took the milk there. Mary discarded the football. Daniel went back to the hallway. John went to the bedroom. Daniel went to the bedroom. Mary travelled to the bathroom. Daniel got the football. John moved to the hallway. John went back to the bedroom. John discarded the milk. Mary moved to the hallway. Daniel went back to the hallway. John put down the apple. Daniel went back to the bedroom. John travelled to the bathroom. Sandra travelled to the hallway.,Where was the apple before the bedroom?,qa3,en,hallway
5224,Mary journeyed to the bedroom. Mary went to the office. Sandra journeyed to the bathroom. Daniel journeyed to the bedroom. John travelled to the garden. Daniel journeyed to the kitchen. Daniel went to the office. Daniel moved to the kitchen. Sandra travelled to the bedroom. Sandra journeyed to the kitchen. John went back to the office. John moved to the bathroom. Sandra went back to the garden. Daniel took the apple. Sandra travelled to the office. John travelled to the bedroom. John travelled to the kitchen. Daniel discarded the apple. Sandra went to the garden. Mary went to the bedroom. Daniel grabbed the apple. John went to the bedroom. John went back to the hallway. Daniel went to the bedroom. John travelled to the office. Daniel travelled to the kitchen. Daniel dropped the apple. John moved to the garden.,Where was the apple before the kitchen?,qa3,en,bedroom
5225,Mary journeyed to the bedroom. Mary went to the office. Sandra journeyed to the bathroom. Daniel journeyed to the bedroom. John travelled to the garden. Daniel journeyed to the kitchen. Daniel went to the office. Daniel moved to the kitchen. Sandra travelled to the bedroom. Sandra journeyed to the kitchen. John went back to the office. John moved to the bathroom. Sandra went back to the garden. Daniel took the apple. Sandra travelled to the office. John travelled to the bedroom. John travelled to the kitchen. Daniel discarded the apple. Sandra went to the garden. Mary went to the bedroom. Daniel grabbed the apple. John went to the bedroom. John went back to the hallway. Daniel went to the bedroom. John travelled to the office. Daniel travelled to the kitchen. Daniel dropped the apple. John moved to the garden. Sandra went to the kitchen. Sandra picked up the apple. Sandra went back to the bathroom. Sandra went to the hallway. John travelled to the office. Sandra put down the apple. Sandra went back to the kitchen. Sandra travelled to the bathroom. Mary went to the kitchen. John went back to the hallway.,Where was the apple before the hallway?,qa3,en,bathroom
5226,John got the football. John discarded the football. Sandra moved to the hallway. John travelled to the garden. Daniel went back to the garden. Mary went back to the bathroom. Daniel got the milk. John went back to the hallway. Sandra journeyed to the bathroom. Daniel left the milk. Daniel picked up the milk. Daniel dropped the milk. Daniel grabbed the milk there. John went to the kitchen. Sandra journeyed to the kitchen. Daniel went to the bathroom. Daniel moved to the office. Sandra went back to the bathroom. Sandra travelled to the garden. John journeyed to the bedroom. Mary moved to the office. Daniel dropped the milk.,Where was the milk before the office?,qa3,en,bathroom
5227,Sandra journeyed to the bedroom. John moved to the kitchen. John went to the hallway. Sandra went to the bathroom. John went back to the kitchen. Daniel went to the hallway. Sandra got the football. Sandra travelled to the garden. Daniel journeyed to the garden. Daniel journeyed to the kitchen. Daniel went back to the office. Daniel travelled to the bedroom. John went back to the bedroom. Sandra went to the bedroom. Sandra went to the hallway. Sandra travelled to the office. Sandra went back to the bedroom. Sandra moved to the office. Sandra journeyed to the kitchen. Sandra travelled to the garden. John went back to the bathroom. Daniel moved to the office. John grabbed the apple. Daniel got the milk there. Daniel left the milk. Mary travelled to the bedroom. Mary moved to the kitchen. Daniel grabbed the milk. Daniel left the milk. Sandra left the football there.,Where was the football before the bedroom?,qa3,en,office
5228,Sandra journeyed to the bedroom. John moved to the kitchen. John went to the hallway. Sandra went to the bathroom. John went back to the kitchen. Daniel went to the hallway. Sandra got the football. Sandra travelled to the garden. Daniel journeyed to the garden. Daniel journeyed to the kitchen. Daniel went back to the office. Daniel travelled to the bedroom. John went back to the bedroom. Sandra went to the bedroom. Sandra went to the hallway. Sandra travelled to the office. Sandra went back to the bedroom. Sandra moved to the office. Sandra journeyed to the kitchen. Sandra travelled to the garden. John went back to the bathroom. Daniel moved to the office. John grabbed the apple. Daniel got the milk there. Daniel left the milk. Mary travelled to the bedroom. Mary moved to the kitchen. Daniel grabbed the milk. Daniel left the milk. Sandra left the football there. John travelled to the office. Mary went back to the bedroom. John went back to the bathroom. Mary journeyed to the kitchen.,Where was the football before the hallway?,qa3,en,bedroom
5229,John picked up the football. Daniel travelled to the hallway. John left the football. Sandra picked up the football. Daniel journeyed to the kitchen. Sandra put down the football. Sandra travelled to the office. Sandra grabbed the milk. Sandra journeyed to the hallway. John travelled to the office. Sandra left the milk. Sandra grabbed the milk. Mary grabbed the football. Sandra went back to the bathroom. Sandra dropped the milk there. Mary moved to the bathroom. Sandra got the milk. Sandra journeyed to the hallway. Sandra dropped the milk. Sandra went to the office. John travelled to the bedroom. Mary discarded the football. Mary went back to the hallway. Sandra moved to the kitchen. John took the apple. Daniel went back to the garden. John went back to the kitchen. Mary travelled to the bathroom. John moved to the bedroom. John put down the apple there. Sandra travelled to the garden. John went back to the kitchen.,Where was the apple before the bedroom?,qa3,en,kitchen
5230,Daniel moved to the office. John moved to the kitchen. John grabbed the apple. Daniel got the milk there. Daniel discarded the milk. John went to the bedroom. John dropped the apple. Daniel got the milk. John went back to the kitchen. John went to the bathroom. Daniel put down the milk. John travelled to the bedroom. Sandra went back to the kitchen. Sandra moved to the office. John took the apple. Daniel journeyed to the bathroom. Daniel moved to the kitchen. Sandra went back to the garden. John left the apple there. John picked up the apple. John went back to the bathroom. John put down the apple. Mary moved to the garden. John picked up the apple. Daniel travelled to the hallway. Mary travelled to the kitchen. Sandra journeyed to the bathroom. John travelled to the kitchen. Sandra moved to the bedroom. Sandra travelled to the office. John put down the apple. John went back to the office. Sandra went back to the garden. Mary picked up the apple. Mary travelled to the bathroom. Mary discarded the apple there. Sandra went back to the hallway. Mary went to the garden. Daniel went to the kitchen. John grabbed the milk. Sandra went to the garden. John went to the bedroom. Sandra went to the bathroom. Sandra moved to the bedroom. John picked up the football there. Sandra went to the office. John dropped the milk there. John got the milk. John went to the office. Daniel travelled to the office. Daniel travelled to the garden. Sandra journeyed to the bathroom. Mary journeyed to the kitchen. John dropped the milk. John took the milk. John left the milk there. John put down the football. Daniel journeyed to the office. John grabbed the milk. Sandra travelled to the bedroom. Daniel grabbed the football. Daniel travelled to the hallway. John left the milk there. Daniel travelled to the bathroom. John took the milk. Mary went back to the garden. Daniel picked up the apple. John went to the hallway. Daniel dropped the football. Daniel travelled to the kitchen.,Where was the football before the bathroom?,qa3,en,hallway
5231,John got the apple. Sandra moved to the bedroom. Daniel grabbed the milk. Daniel journeyed to the office. Daniel went back to the hallway. John discarded the apple. John got the apple. Daniel left the milk there. Mary got the milk. Mary dropped the milk there. John put down the apple. John went to the office. Daniel took the milk. Daniel travelled to the kitchen. Daniel moved to the garden. Daniel dropped the milk. Mary travelled to the bathroom. John went to the bathroom.,Where was the milk before the garden?,qa3,en,kitchen
5232,Daniel took the apple. John journeyed to the bedroom. Sandra picked up the football. Sandra discarded the football. Mary went back to the office. Sandra took the football. Sandra discarded the football. Sandra journeyed to the kitchen. Sandra picked up the milk. Daniel travelled to the hallway. Daniel discarded the apple. Daniel went to the office. John moved to the garden. Mary journeyed to the kitchen. Sandra left the milk there. Sandra grabbed the milk. Mary journeyed to the garden. Daniel went to the garden. Sandra put down the milk. John travelled to the bedroom. Sandra travelled to the bedroom. Mary travelled to the kitchen. John went to the bathroom. Sandra moved to the garden. John grabbed the football. Sandra moved to the office. John went to the bedroom. John left the football. John picked up the football. Mary grabbed the milk there. Mary put down the milk. John discarded the football. Mary travelled to the bedroom. John grabbed the football. John put down the football. John took the football. Sandra journeyed to the hallway. Sandra took the apple. Sandra discarded the apple. Mary travelled to the office. Daniel went to the bedroom. Sandra picked up the apple. Daniel went to the bathroom. John dropped the football there. John got the football. John dropped the football. Sandra put down the apple. Sandra went to the office. Mary travelled to the bathroom. John got the football. Sandra journeyed to the kitchen. Daniel moved to the office. Sandra picked up the milk there. John dropped the football there. Daniel went to the bathroom. Sandra left the milk there. Mary moved to the bedroom. John grabbed the football. Mary went to the garden. Mary went back to the office. Sandra took the milk. John left the football. John got the football. Sandra went to the garden. Mary journeyed to the garden. Mary went back to the hallway. Daniel moved to the office. Sandra went back to the hallway. Sandra picked up the apple. Mary moved to the office. Daniel went back to the garden. Sandra went back to the kitchen. Mary moved to the hallway. Mary went back to the bathroom. John left the football. Mary moved to the garden. Mary travelled to the kitchen. Sandra left the apple there. Sandra moved to the bedroom. John went to the garden. John travelled to the kitchen. Sandra went to the bathroom. Sandra travelled to the office. Sandra journeyed to the garden. John moved to the garden. Mary journeyed to the bedroom. Mary grabbed the football there. Mary travelled to the hallway. Sandra journeyed to the bathroom. John went to the bathroom. Sandra discarded the milk. Daniel travelled to the hallway.,Where was the milk before the garden?,qa3,en,office
5233,John picked up the apple there. Sandra took the milk. Mary journeyed to the hallway. John put down the apple. Daniel moved to the bathroom. Sandra put down the milk. John journeyed to the bedroom. Sandra got the milk there. John went to the hallway. Sandra put down the milk. John moved to the kitchen. Daniel went to the office. John took the milk. John travelled to the office. Mary moved to the office. John got the apple. Sandra went back to the hallway. Sandra journeyed to the office. John travelled to the bedroom. Sandra journeyed to the hallway. Daniel went to the hallway. Sandra went back to the garden. Daniel went back to the garden. Sandra travelled to the bedroom. John discarded the apple. Sandra moved to the kitchen. John grabbed the apple. Daniel went back to the bathroom. Daniel went back to the hallway. Mary went back to the bedroom. John dropped the apple. Mary went to the hallway. Sandra went to the office. Sandra went to the hallway. John travelled to the hallway. John dropped the milk. Mary got the milk there. Mary discarded the milk. Mary grabbed the milk. John journeyed to the bathroom. Daniel travelled to the kitchen. Mary dropped the milk there. John went to the garden. Daniel travelled to the office. Sandra took the milk. Sandra went back to the bedroom. Sandra journeyed to the garden. Sandra put down the milk.,Where was the milk before the garden?,qa3,en,bedroom
